REGIÃO GEOGRÁFICA;PAÍS;ANO;CAPACIDADE TOTAL EFETIVA DE REFINO
Ásia-Pacífico;Malásia;2020;955
Ásia-Pacífico;Malásia;2021;955
Ásia-Pacífico;Nova Zelândia;2012;136
Ásia-Pacífico;Nova Zelândia;2013;135,605
Ásia-Pacífico;Nova Zelândia;2014;135,605
Ásia-Pacífico;Nova Zelândia;2015;135,605
Ásia-Pacífico;Nova Zelândia;2016;135,605
Ásia-Pacífico;Nova Zelândia;2017;135,605
Ásia-Pacífico;Nova Zelândia;2018;135,605
Ásia-Pacífico;Nova Zelândia;2019;135,605
Ásia-Pacífico;Nova Zelândia;2020;135,605
Ásia-Pacífico;Nova Zelândia;2021;135
Ásia-Pacífico;Paquistão;2012;275
Ásia-Pacífico;Paquistão;2013;389,8051024
Ásia-Pacífico;Paquistão;2014;389,8051024
Ásia-Pacífico;Paquistão;2015;388,7149205
Ásia-Pacífico;Paquistão;2016;389,2770211
Ásia-Pacífico;Paquistão;2017;401,1913236
Ásia-Pacífico;Paquistão;2018;401,4530548
Ásia-Pacífico;Paquistão;2019;401,4530548
Ásia-Pacífico;Paquistão;2020;411,4530548
Ásia-Pacífico;Paquistão;2021;411,4530548
Ásia-Pacífico;Tailândia;2012;1230
Ásia-Pacífico;Tailândia;2013;1236,5
Ásia-Pacífico;Tailândia;2014;1251,5
Ásia-Pacífico;Tailândia;2015;1251,5
Ásia-Pacífico;Tailândia;2016;1234,5
Ásia-Pacífico;Tailândia;2017;1234,5
Ásia-Pacífico;Tailândia;2018;1234,5
Ásia-Pacífico;Tailândia;2019;1234,5
Ásia-Pacífico;Tailândia;2020;1244,5
Ásia-Pacífico;Tailândia;2021;1244,5
Ásia-Pacífico;Taiwan;2012;1197
Ásia-Pacífico;Taiwan;2013;1197
Ásia-Pacífico;Taiwan;2014;1197
Ásia-Pacífico;Taiwan;2015;988
Ásia-Pacífico;Taiwan;2016;988
Ásia-Pacífico;Taiwan;2017;1083
Ásia-Pacífico;Taiwan;2018;1083
Ásia-Pacífico;Taiwan;2019;1083
Ásia-Pacífico;Taiwan;2020;1130,5
Ásia-Pacífico;Taiwan;2021;1130,5
Ásia-Pacífico;Vietnã;2012;159
Ásia-Pacífico;Vietnã;2013;159
Ásia-Pacífico;Vietnã;2014;159
Ásia-Pacífico;Vietnã;2015;159
Ásia-Pacífico;Vietnã;2016;163
Ásia-Pacífico;Vietnã;2017;167
Ásia-Pacífico;Vietnã;2018;367
Ásia-Pacífico;Vietnã;2019;367
Ásia-Pacífico;Vietnã;2020;367
Ásia-Pacífico;Vietnã;2021;367
Ásia-Pacífico;Outros ;2012;184
Ásia-Pacífico;Outros ;2013;190,33
Ásia-Pacífico;Outros ;2014;197,33
Ásia-Pacífico;Outros ;2015;197,33
Ásia-Pacífico;Outros ;2016;197,33
Ásia-Pacífico;Outros ;2017;197,33
Ásia-Pacífico;Outros ;2018;197,33
Ásia-Pacífico;Outros ;2019;357,33
Ásia-Pacífico;Outros ;2020;357,33
Ásia-Pacífico;Outros ;2021;357,33
