RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 4;2002;Blocos concedidos/blocos ofertados (%);39%
Rodada 5;2003;Blocos concedidos/blocos ofertados (%);11%
Rodada 6;2004;Blocos concedidos/blocos ofertados (%);17%
Rodada 7;2005;Blocos concedidos/blocos ofertados (%);21%
Rodada 9;2007;Blocos concedidos/blocos ofertados (%);40%
Rodada 10;2008;Blocos concedidos/blocos ofertados (%);31%
Rodada 11;2013;Blocos concedidos/blocos ofertados (%);42%
Rodada 12;2013;Blocos concedidos/blocos ofertados (%);26%
Rodada 13;2015;Blocos concedidos/blocos ofertados (%);14%
Rodada 14 ;2017;Blocos concedidos/blocos ofertados (%);11%
Rodada 15;2018;Blocos concedidos/blocos ofertados (%);32%
Rodada 16;2019;Blocos concedidos/blocos ofertados (%);33%
Rodada 17;2021;Blocos concedidos/blocos ofertados (%);5%
Rodada 1;1999;Área ofertada (km²);132.178
Rodada 2;2000;Área ofertada (km²);59.271
Rodada 3;2001;Área ofertada (km²);89.823
Rodada 4;2002;Área ofertada (km²);144.106
Rodada 5;2003;Área ofertada (km²);162.392
Rodada 6;2004;Área ofertada (km²);202.739
Rodada 7;2005;Área ofertada (km²);397.600
Rodada 9;2007;Área ofertada (km²);73.079
Rodada 10;2008;Área ofertada (km²);70.371
Rodada 11;2013;Área ofertada (km²);155.813
Rodada 12;2013;Área ofertada (km²);163.917
Rodada 13;2015;Área ofertada (km²);122.215
Rodada 14 ;2017;Área ofertada (km²);122.616
Rodada 15;2018;Área ofertada (km²);94.602
Rodada 16;2019;Área ofertada (km²);29.297
Rodada 17;2021;Área ofertada (km²);53.936
Rodada 1;1999;Área arrematada (km²);54.660
Rodada 2;2000;Área arrematada (km²);48.074
Rodada 3;2001;Área arrematada (km²);48.629
Rodada 4;2002;Área arrematada (km²);25.289
Rodada 5;2003;Área arrematada (km²);21.951
Rodada 6;2004;Área arrematada (km²);39.657
Rodada 7;2005;Área arrematada (km²);194.651
Rodada 9;2007;Área arrematada (km²);45.614
Rodada 10;2008;Área arrematada (km²);48.030
Rodada 11;2013;Área arrematada (km²);100.372
Rodada 12;2013;Área arrematada (km²);47.428
Rodada 13;2015;Área arrematada (km²);33.618
Rodada 14 ;2017;Área arrematada (km²);25.012
Rodada 15;2018;Área arrematada (km²);16.400
Rodada 16;2019;Área arrematada (km²);11.762
Rodada 17;2021;Área arrematada (km²);3.426
Rodada 1;1999;Área onshore arrematada (km2);-
Rodada 2;2000;Área onshore arrematada (km2);10.227
Rodada 3;2001;Área onshore arrematada (km2);2.363
Rodada 4;2002;Área onshore arrematada (km2);10.620
Rodada 5;2003;Área onshore arrematada (km2);697
Rodada 6;2004;Área onshore arrematada (km2);2.846
Rodada 7;2005;Área onshore arrematada (km2);186.916
Rodada 9;2007;Área onshore arrematada (km2);32.195
Rodada 10;2008;Área onshore arrematada (km2);48.030
Rodada 11;2013;Área onshore arrematada (km2);64.998
Rodada 12;2013;Área onshore arrematada (km2);47.428
Rodada 13;2015;Área onshore arrematada (km2);32.105
Rodada 14 ;2017;Área onshore arrematada (km2);16.858
Rodada 15;2018;Área onshore arrematada (km2);-
Rodada 16;2019;Área onshore arrematada (km2);-
Rodada 17;2021;Área onshore arrematada (km2);-
Rodada 1;1999;Área offshore arrematada (km2);54.660
