RODADA DE LICITAÇÃO;ANO;TIPO DE DADO;VALOR DA VARIÁVEL
Rodada 11;2013;Bônus de assinatura arrecadado (milhões de R$);2.480
Rodada 12;2013;Bônus de assinatura arrecadado (milhões de R$);154
Rodada 13;2015;Bônus de assinatura arrecadado (milhões de R$);120
Rodada 14 ;2017;Bônus de assinatura arrecadado (milhões de R$);3.841
Rodada 15;2018;Bônus de assinatura arrecadado (milhões de R$);8.015
Rodada 16;2019;Bônus de assinatura arrecadado (milhões de R$);8.916
Rodada 17;2021;Bônus de assinatura arrecadado (milhões de R$);37
Rodada 1;1999;PEM2 (UT);N.A.
Rodada 2;2000;PEM2 (UT);N.A.
Rodada 3;2001;PEM2 (UT);N.A.
Rodada 4;2002;PEM2 (UT);N.A.
Rodada 5;2003;PEM2 (UT);33.671
Rodada 6;2004;PEM2 (UT);131.137
Rodada 7;2005;PEM2 (UT);195.741
Rodada 9;2007;PEM2 (UT);169.436
Rodada 10;2008;PEM2 (UT);128.707
Rodada 11;2013;PEM2 (UT);400.088
Rodada 12;2013;PEM2 (UT);129.761
Rodada 13;2015;PEM2 (UT);40.176
Rodada 14 ;2017;PEM2 (UT);13.786
Rodada 15;2018;PEM2 (UT);8.045
Rodada 16;2019;PEM2 (UT);8.973
Rodada 17;2021;PEM2 (UT);737
Rodada 1;1999;PEM2 (UT) após assinatura;N.A.
Rodada 2;2000;PEM2 (UT) após assinatura;N.A.
Rodada 3;2001;PEM2 (UT) após assinatura;N.A.
Rodada 4;2002;PEM2 (UT) após assinatura;N.A.
Rodada 5;2003;PEM2 (UT) após assinatura;33.671
Rodada 6;2004;PEM2 (UT) após assinatura;131.137
Rodada 7;2005;PEM2 (UT) após assinatura;162.591
Rodada 9;2007;PEM2 (UT) após assinatura;158.036
Rodada 10;2008;PEM2 (UT) após assinatura;100.101
Rodada 11;2013;PEM2 (UT) após assinatura;236.060
Rodada 12;2013;PEM2 (UT) após assinatura;99.481
Rodada 13;2015;PEM2 (UT) após assinatura;38.901
Rodada 14 ;2017;PEM2 (UT) após assinatura;12.958
Rodada 15;2018;PEM2 (UT) após assinatura;8.045
Rodada 16;2019;PEM2 (UT) após assinatura;8.973
Rodada 17;2021;PEM2 (UT) após assinatura;737
Rodada 1;1999;PEM (milhões de R$);N.A.
Rodada 2;2000;PEM (milhões de R$);N.A.
Rodada 3;2001;PEM (milhões de R$);N.A.
Rodada 4;2002;PEM (milhões de R$);N.A.
Rodada 5;2003;PEM (milhões de R$);364
Rodada 6;2004;PEM (milhões de R$);2.047
Rodada 7;2005;PEM (milhões de R$);1.797
Rodada 9;2007;PEM (milhões de R$);1.367
Rodada 10;2008;PEM (milhões de R$);611
Rodada 11;2013;PEM (milhões de R$);6.902
Rodada 12;2013;PEM (milhões de R$);504
Rodada 13;2015;PEM (milhões de R$);216
Rodada 14 ;2017;PEM (milhões de R$);846
Rodada 15;2018;PEM (milhões de R$);1.223
Rodada 16;2019;PEM (milhões de R$);1.579
Rodada 17;2021;PEM (milhões de R$);136
Rodada 1;1999;PEM (milhões de R$) após assinatura;N.A.
Rodada 2;2000;PEM (milhões de R$) após assinatura;N.A.
Rodada 3;2001;PEM (milhões de R$) após assinatura;N.A.
Rodada 4;2002;PEM (milhões de R$) após assinatura;N.A.
Rodada 5;2003;PEM (milhões de R$) após assinatura;364
Rodada 6;2004;PEM (milhões de R$) após assinatura;2.047
Rodada 7;2005;PEM (milhões de R$) após assinatura;1.698
Rodada 9;2007;PEM (milhões de R$) após assinatura;1.333
Rodada 10;2008;PEM (milhões de R$) após assinatura;554
Rodada 11;2013;PEM (milhões de R$) após assinatura;5.800
Rodada 12;2013;PEM (milhões de R$) após assinatura;388
Rodada 13;2015;PEM (milhões de R$) após assinatura;210
Rodada 14 ;2017;PEM (milhões de R$) após assinatura;841
Rodada 15;2018;PEM (milhões de R$) após assinatura;1.223
Rodada 16;2019;PEM (milhões de R$) após assinatura;1.579
Rodada 17;2021;PEM (milhões de R$) após assinatura;136
