TIPO DE DERIVADO;DERIVADOS DE PETRÓLEO;REFINARIA (UF);PRODUÇÃO
Não energéticos;Solvente;Regap (MG);0
Não energéticos;Solvente;Reman (AM);0
Não energéticos;Solvente;Repar (PR);50911
Não energéticos;Outros;Riograndense (RS);0
Não energéticos;Outros;Lubnor (CE);0
Não energéticos;Outros;Manguinhos (RJ);0
Não energéticos;Outros;Recap (SP);195185
Não energéticos;Outros;Reduc (RJ)1;838400
Não energéticos;Outros;Refap (RS);146200
Não energéticos;Outros;Regap (MG);13752
Não energéticos;Outros;Reman (AM);0
Não energéticos;Outros;Repar (PR);180966
Energéticos;Gasolina A;Replan (SP);5291406
Energéticos;Gasolina A;Revap (SP);3300340
Energéticos;Gasolina A;Mataripe (BA);2598472
Energéticos;Gasolina A;RPBC (SP);2185146
Energéticos;Gasolina A;RPCC (RN)1;0
Energéticos;Gasolina A;Rnest (PE);159672
Energéticos;Gasolina A;Univen (SP);0
Energéticos;Gasolina A;Dax Oil (BA);6662
Energéticos;Gasolina de aviação;Replan (SP);0
Energéticos;Gasolina de aviação;Revap (SP);0
Energéticos;Gasolina de aviação;Mataripe (BA);0
Energéticos;Gasolina de aviação;RPBC (SP);55899
Energéticos;Gasolina de aviação;RPCC (RN)1;0
Energéticos;Gasolina de aviação;Rnest (PE);0
Energéticos;Gasolina de aviação;Univen (SP);0
Energéticos;Gasolina de aviação;Dax Oil (BA);0
Energéticos;GLP;Replan (SP);1668832
Energéticos;GLP;Revap (SP);881842
Energéticos;GLP;Mataripe (BA);732519
Energéticos;GLP;RPBC (SP);429683
Energéticos;GLP;RPCC (RN)1;61215
Energéticos;GLP;Rnest (PE);37734
Energéticos;GLP;Univen (SP);0
Energéticos;GLP;Dax Oil (BA);0
Energéticos;Óleo combustível;Replan (SP);1846774
Energéticos;Óleo combustível;Revap (SP);1931675
Energéticos;Óleo combustível;Mataripe (BA);3910222
Energéticos;Óleo combustível;RPBC (SP);1232349
Energéticos;Óleo combustível;RPCC (RN)1;1112407
Energéticos;Óleo combustível;Rnest (PE);1663352
Energéticos;Óleo combustível;Univen (SP);0
Energéticos;Óleo combustível;Dax Oil (BA);97014
Energéticos;Óleo diesel;Replan (SP);9852513
Energéticos;Óleo diesel;Revap (SP);4492583
Energéticos;Óleo diesel;Mataripe (BA);3704479
Energéticos;Óleo diesel;RPBC (SP);4146179
Energéticos;Óleo diesel;RPCC (RN)1;0
Energéticos;Óleo diesel;Rnest (PE);1920895
Energéticos;Óleo diesel;Univen (SP);0
Energéticos;Óleo diesel;Dax Oil (BA);41350
Energéticos;QAV;Replan (SP);678422
Energéticos;QAV;Revap (SP);1676590
Energéticos;QAV;Mataripe (BA);210391
Energéticos;QAV;RPBC (SP);0
Energéticos;QAV;RPCC (RN)1;117913
Energéticos;QAV;Rnest (PE);0
Energéticos;QAV;Univen (SP);0
Energéticos;QAV;Dax Oil (BA);0
Energéticos;Querosene iluminante;Replan (SP);0
Energéticos;Querosene iluminante;Revap (SP);612
Energéticos;Querosene iluminante;Mataripe (BA);0
Energéticos;Querosene iluminante;RPBC (SP);0
Energéticos;Querosene iluminante;RPCC (RN)1;0
Energéticos;Querosene iluminante;Rnest (PE);0
Energéticos;Querosene iluminante;Univen (SP);0
Energéticos;Querosene iluminante;Dax Oil (BA);0
Não energéticos;Asfalto;Replan (SP);225153
Não energéticos;Asfalto;Revap (SP);179200
Não energéticos;Asfalto;Mataripe (BA);125780
Não energéticos;Asfalto;RPBC (SP);0
Não energéticos;Asfalto;RPCC (RN)1;0
Não energéticos;Asfalto;Rnest (PE);0
Não energéticos;Asfalto;Univen (SP);0
Não energéticos;Asfalto;Dax Oil (BA);0
Não energéticos;Coque;Replan (SP);1391449
Não energéticos;Coque;Revap (SP);606767
Não energéticos;Coque;Mataripe (BA);0
Não energéticos;Coque;RPBC (SP);580913
Não energéticos;Coque;RPCC (RN)1;0
Não energéticos;Coque;Rnest (PE);262172
Não energéticos;Coque;Univen (SP);0
Não energéticos;Coque;Dax Oil (BA);0
Não energéticos;Nafta;Replan (SP);629266
Não energéticos;Nafta;Revap (SP);893305
Não energéticos;Nafta;Mataripe (BA);407811
Não energéticos;Nafta;RPBC (SP);43430
Não energéticos;Nafta;RPCC (RN)1;0
Não energéticos;Nafta;Rnest (PE);168026
Não energéticos;Nafta;Univen (SP);0
Não energéticos;Nafta;Dax Oil (BA);3994
Não energéticos;Óleo lubrificante;Replan (SP);0
Não energéticos;Óleo lubrificante;Revap (SP);0
Não energéticos;Óleo lubrificante;Mataripe (BA);24281
Não energéticos;Óleo lubrificante;RPBC (SP);40
Não energéticos;Óleo lubrificante;RPCC (RN)1;0
Não energéticos;Óleo lubrificante;Rnest (PE);0
Não energéticos;Óleo lubrificante;Univen (SP);0
Não energéticos;Óleo lubrificante;Dax Oil (BA);0
Não energéticos;Parafina;Replan (SP);0
Não energéticos;Parafina;Revap (SP);0
Não energéticos;Parafina;Mataripe (BA);24260
Não energéticos;Parafina;RPBC (SP);0
Não energéticos;Parafina;RPCC (RN)1;0
Não energéticos;Parafina;Rnest (PE);0
Não energéticos;Parafina;Univen (SP);0
Não energéticos;Parafina;Dax Oil (BA);0
Não energéticos;Solvente;Replan (SP);0
Não energéticos;Solvente;Revap (SP);3413
Não energéticos;Solvente;Mataripe (BA);9120
Não energéticos;Solvente;RPBC (SP);138791
Não energéticos;Solvente;RPCC (RN)1;0
Não energéticos;Solvente;Rnest (PE);0
Não energéticos;Solvente;Univen (SP);0
Não energéticos;Solvente;Dax Oil (BA);108941
Não energéticos;Outros;Replan (SP);544326
Não energéticos;Outros;Revap (SP);211785
Não energéticos;Outros;Mataripe (BA);136194
Não energéticos;Outros;RPBC (SP);108995
Não energéticos;Outros;RPCC (RN)1;0
Não energéticos;Outros;Rnest (PE);0
Não energéticos;Outros;Univen (SP);0
Não energéticos;Outros;Dax Oil (BA);0
