BACIA SEDIMENTAR;TERRA/MAR;CONTRATO;BLOCO;RODADA;CONCESSIONÁRIO;PERCENTUAL
Sergipe;Mar;48610222076201951;SEAL-M-505;Oferta Permanente 1;Enauta Energia ;0,3
Sergipe;Mar;48610222077201903;SEAL-M-575;Oferta Permanente 1;ExxonMobil Brasil1 ;0,5
Sergipe;Mar;48610222077201903;SEAL-M-575;Oferta Permanente 1;Enauta Energia ;0,3
Sergipe;Mar;48610222078201940;SEAL-M-637;Oferta Permanente 1;ExxonMobil Brasil1 ;0,5
Sergipe;Mar;48610222078201940;SEAL-M-637;Oferta Permanente 1;Enauta Energia ;0,3
Solimões;Terra;48610009147200526A;SOL-T-169;Rodada 7;Rosneft1 ;1
Solimões;Terra;48610009147200526A;SOL-T-170;Rodada 7;Rosneft1 ;1
Solimões;Terra;48610009147200526A;SOL-T-192;Rodada 7;Rosneft1 ;1
Tucano Sul;Terra;48610005437201319;TUC-T-139;Rodada 11;Imetame1 ;0,3
Tucano Sul;Terra;48610005437201319;TUC-T-139;Rodada 11;Energy Paranã ;0,7
Tucano Sul;Terra;48610005438201355;TUC-T-147;Rodada 11;Imetame1 ;0,3
Tucano Sul;Terra;48610005438201355;TUC-T-147;Rodada 11;Energy Paranã ;0,7
