TIPO DE POÇO;LOCALIZAÇÃO;ANO;POÇOS PERFURADOS
Explotatório;Terra;2014;383
Explotatório;Terra;2015;498
Explotatório;Terra;2016;152
Explotatório;Terra;2017;155
Explotatório;Terra;2018;101
Explotatório;Terra;2019;121
Explotatório;Terra;2020;68
Explotatório;Terra;2021;41
Explotatório;Mar;2012;99
Explotatório;Mar;2013;107
Explotatório;Mar;2014;99
Explotatório;Mar;2015;66
Explotatório;Mar;2016;65
Explotatório;Mar;2017;48
Explotatório;Mar;2018;45
Explotatório;Mar;2019;46
Explotatório;Mar;2020;35
Explotatório;Mar;2021;39
   Produção;Terra;2012;388
   Produção;Terra;2013;283
   Produção;Terra;2014;353
   Produção;Terra;2015;482
   Produção;Terra;2016;151
   Produção;Terra;2017;151
   Produção;Terra;2018;101
   Produção;Terra;2019;113
   Produção;Terra;2020;64
   Produção;Terra;2021;39
   Produção;Mar;2012;72
   Produção;Mar;2013;72
   Produção;Mar;2014;70
   Produção;Mar;2015;45
   Produção;Mar;2016;42
   Produção;Mar;2017;30
   Produção;Mar;2018;30
   Produção;Mar;2019;33
   Produção;Mar;2020;20
   Produção;Mar;2021;21
   Injeção;Terra;2012;62
   Injeção;Terra;2013;52
   Injeção;Terra;2014;30
   Injeção;Terra;2015;16
   Injeção;Terra;2016;1
   Injeção;Terra;2017;4
   Injeção;Terra;2018;0
   Injeção;Terra;2019;8
   Injeção;Terra;2020;4
   Injeção;Terra;2021;2
   Injeção;Mar;2012;27
   Injeção;Mar;2013;35
   Injeção;Mar;2014;29
   Injeção;Mar;2015;21
   Injeção;Mar;2016;23
   Injeção;Mar;2017;18
   Injeção;Mar;2018;15
   Injeção;Mar;2019;13
   Injeção;Mar;2020;15
   Injeção;Mar;2021;18
Especiais;Terra;2012;7
Especiais;Terra;2013;3
Especiais;Terra;2014;9
Especiais;Terra;2015;6
Especiais;Terra;2016;1
Especiais;Terra;2017;0
Especiais;Terra;2018;0
Especiais;Terra;2019;0
Especiais;Terra;2020;0
Especiais;Terra;2021;0
Especiais;Mar;2012;45
Especiais;Mar;2013;43
Especiais;Mar;2014;14
Especiais;Mar;2015;18
Especiais;Mar;2016;3
Especiais;Mar;2017;8
Especiais;Mar;2018;14
Especiais;Mar;2019;11
Especiais;Mar;2020;16
Especiais;Mar;2021;8
