REGIÃO GEOGRÁFICA;PAÍS;ANO;CONSUMO DE PETRÓLEO
Europa;Polônia;2017;646,4316164
Europa;Polônia;2018;662,5449782
Europa;Polônia;2019;678,6619431
Europa;Polônia;2020;639,5636178
Europa;Polônia;2021;686,8009071
Europa;Portugal;2012;225
Europa;Portugal;2013;235,3231603
Europa;Portugal;2014;241,3299706
Europa;Portugal;2015;238,2262347
Europa;Portugal;2016;241,4340037
Europa;Portugal;2017;240,2367091
Europa;Portugal;2018;239,0337994
Europa;Portugal;2019;247,0392235
Europa;Portugal;2020;201,8472842
Europa;Portugal;2021;208,3370232
Europa;Reino Unido;2012;1508
Europa;Reino Unido;2013;1489,954493
Europa;Reino Unido;2014;1491,05659
Europa;Reino Unido;2015;1537,983167
Europa;Reino Unido;2016;1586,935083
Europa;Reino Unido;2017;1593,542242
Europa;Reino Unido;2018;1568,71359
Europa;Reino Unido;2019;1522,001171
Europa;Reino Unido;2020;1171,865384
Europa;Reino Unido;2021;1236,28237
Europa;República Tcheca;2012;189
Europa;República Tcheca;2013;180,9141247
Europa;República Tcheca;2014;191,5435679
Europa;República Tcheca;2015;184,1054356
Europa;República Tcheca;2016;172,069487
Europa;República Tcheca;2017;205,3865499
Europa;República Tcheca;2018;206,7234521
Europa;República Tcheca;2019;209,4629589
Europa;República Tcheca;2020;181,033306
Europa;República Tcheca;2021;200,1532243
Europa;Romênia;2012;186
Europa;Romênia;2013;169,8372329
Europa;Romênia;2014;183,5061644
Europa;Romênia;2015;186,3793973
Europa;Romênia;2016;195,4642623
Europa;Romênia;2017;205,7207123
Europa;Romênia;2018;211,6599818
Europa;Romênia;2019;221,0975185
Europa;Romênia;2020;205,461694
Europa;Romênia;2021;225,0183993
Europa;Suécia;2012;292
Europa;Suécia;2013;290,994959
Europa;Suécia;2014;284,7977706
Europa;Suécia;2015;278,6644858
Europa;Suécia;2016;289,0551224
Europa;Suécia;2017;285,8783679
Europa;Suécia;2018;272,7254682
Europa;Suécia;2019;291,8107475
Europa;Suécia;2020;254,5533008
Europa;Suécia;2021;269,6448489
Europa;Suíça;2012;238
Europa;Suíça;2013;248,8650922
Europa;Suíça;2014;223,6238178
Europa;Suíça;2015;226,2230062
Europa;Suíça;2016;213,6213761
Europa;Suíça;2017;219,3053012
Europa;Suíça;2018;211,5430991
Europa;Suíça;2019;216,1258502
Europa;Suíça;2020;179,4259346
Europa;Suíça;2021;180,975202
Europa;Turquia;2012;702
Europa;Turquia;2013;748,0284384
Europa;Turquia;2014;770,9878904
Europa;Turquia;2015;914,7154473
Europa;Turquia;2016;973,2164547
Europa;Turquia;2017;1021,896374
Europa;Turquia;2018;989,2174645
Europa;Turquia;2019;999,4625392
Europa;Turquia;2020;912,6081061
Europa;Turquia;2021;939,2192557
Europa;Ucrânia;2012;287
Europa;Ucrânia;2013;273,9821386
Europa;Ucrânia;2014;243,5058767
Europa;Ucrânia;2015;214,7425705
Europa;Ucrânia;2016;228,1531715
Europa;Ucrânia;2017;229,7929189
Europa;Ucrânia;2018;239,8917022
Europa;Ucrânia;2019;239,3516756
Europa;Ucrânia;2020;226,847152
Europa;Ucrânia;2021;236,7394538
Europa;Outros;2012;299
Europa;Outros;2013;297,417376
Europa;Outros;2014;294,4895891
Europa;Outros;2015;304,5530806
Europa;Outros;2016;325,5449829
Europa;Outros;2017;341,9384789
Europa;Outros;2018;337,5937283
Europa;Outros;2019;347,0838515
Europa;Outros;2020;313,7061639
Europa;Outros;2021;322,116507
Comunidade dos Estados Independentes;Azerbaijão;2012;92
Comunidade dos Estados Independentes;Azerbaijão;2013;100,7533644
Comunidade dos Estados Independentes;Azerbaijão;2014;99,29695906
Comunidade dos Estados Independentes;Azerbaijão;2015;99,53091043
Comunidade dos Estados Independentes;Azerbaijão;2016;97,8504038
Comunidade dos Estados Independentes;Azerbaijão;2017;99,40341164
Comunidade dos Estados Independentes;Azerbaijão;2018;104,1329678
Comunidade dos Estados Independentes;Azerbaijão;2019;104,8048536
Comunidade dos Estados Independentes;Azerbaijão;2020;90,9047413
Comunidade dos Estados Independentes;Azerbaijão;2021;94,7897662
Comunidade dos Estados Independentes;Belarus;2012;213
Comunidade dos Estados Independentes;Belarus;2013;160,4426027
Comunidade dos Estados Independentes;Belarus;2014;163,5537808
Comunidade dos Estados Independentes;Belarus;2015;137,5190411
Comunidade dos Estados Independentes;Belarus;2016;147,0852048
Comunidade dos Estados Independentes;Belarus;2017;146,8693913
Comunidade dos Estados Independentes;Belarus;2018;170,9163321
Comunidade dos Estados Independentes;Belarus;2019;174,4993815
Comunidade dos Estados Independentes;Belarus;2020;166,6356917
Comunidade dos Estados Independentes;Belarus;2021;159,4317005
Comunidade dos Estados Independentes;Cazaquistão;2012;288
Comunidade dos Estados Independentes;Cazaquistão;2013;297,1734996
Comunidade dos Estados Independentes;Cazaquistão;2014;304,2843862
Comunidade dos Estados Independentes;Cazaquistão;2015;289,4637518
Comunidade dos Estados Independentes;Cazaquistão;2016;304,1226241
Comunidade dos Estados Independentes;Cazaquistão;2017;312,5792374
Comunidade dos Estados Independentes;Cazaquistão;2018;338,1193522
Comunidade dos Estados Independentes;Cazaquistão;2019;344,5284907
Comunidade dos Estados Independentes;Cazaquistão;2020;302,0760831
Comunidade dos Estados Independentes;Cazaquistão;2021;327,0717624
Comunidade dos Estados Independentes;Rússia;2012;3140
Comunidade dos Estados Independentes;Rússia;2013;3163,368895
Comunidade dos Estados Independentes;Rússia;2014;3300,30927
Comunidade dos Estados Independentes;Rússia;2015;3196,792571
Comunidade dos Estados Independentes;Rússia;2016;3275,492348
Comunidade dos Estados Independentes;Rússia;2017;3279,861898
Comunidade dos Estados Independentes;Rússia;2018;3309,731562
Comunidade dos Estados Independentes;Rússia;2019;3376,160087
Comunidade dos Estados Independentes;Rússia;2020;3209,643877
Comunidade dos Estados Independentes;Rússia;2021;3406,530548
Comunidade dos Estados Independentes;Turcomenistão;2012;129
Comunidade dos Estados Independentes;Turcomenistão;2013;137,370137
Comunidade dos Estados Independentes;Turcomenistão;2014;143,2779452
Comunidade dos Estados Independentes;Turcomenistão;2015;144,6013699
Comunidade dos Estados Independentes;Turcomenistão;2016;142,8918033
Comunidade dos Estados Independentes;Turcomenistão;2017;143,670807
Comunidade dos Estados Independentes;Turcomenistão;2018;145,2273921
Comunidade dos Estados Independentes;Turcomenistão;2019;146,1018762
Comunidade dos Estados Independentes;Turcomenistão;2020;139,8279291
Comunidade dos Estados Independentes;Turcomenistão;2021;146,1883635
Comunidade dos Estados Independentes;Uzbequistão;2012;88
Comunidade dos Estados Independentes;Uzbequistão;2013;82,75120548
Comunidade dos Estados Independentes;Uzbequistão;2014;81,63030137
Comunidade dos Estados Independentes;Uzbequistão;2015;82,56073973
Comunidade dos Estados Independentes;Uzbequistão;2016;86,42721311
Comunidade dos Estados Independentes;Uzbequistão;2017;87,3123957
Comunidade dos Estados Independentes;Uzbequistão;2018;94,81481416
Comunidade dos Estados Independentes;Uzbequistão;2019;95,03733145
Comunidade dos Estados Independentes;Uzbequistão;2020;82,50283778
Comunidade dos Estados Independentes;Uzbequistão;2021;89,749108
Comunidade dos Estados Independentes;Outros;2012;75
Comunidade dos Estados Independentes;Outros;2013;78,14917025
Comunidade dos Estados Independentes;Outros;2014;75,64571083
Comunidade dos Estados Independentes;Outros;2015;78,37884642
Comunidade dos Estados Independentes;Outros;2016;85,92975178
Comunidade dos Estados Independentes;Outros;2017;82,40909271
Comunidade dos Estados Independentes;Outros;2018;95,93451475
Comunidade dos Estados Independentes;Outros;2019;89,38364822
Comunidade dos Estados Independentes;Outros;2020;76,94878429
Comunidade dos Estados Independentes;Outros;2021;83,55724856
Oriente Médio;Arábia Saudita;2012;3451
Oriente Médio;Arábia Saudita;2013;3444,032525
Oriente Médio;Arábia Saudita;2014;3779,214152
Oriente Médio;Arábia Saudita;2015;3901,374787
Oriente Médio;Arábia Saudita;2016;3962,462599
Oriente Médio;Arábia Saudita;2017;3870,284207
Oriente Médio;Arábia Saudita;2018;3761,737461
Oriente Médio;Arábia Saudita;2019;3691,359018
Oriente Médio;Arábia Saudita;2020;3552,199937
Oriente Médio;Arábia Saudita;2021;3595,426652
Oriente Médio;Catar;2012;260
Oriente Médio;Catar;2013;302,8938466
Oriente Médio;Catar;2014;311,7549702
Oriente Médio;Catar;2015;355,624574
Oriente Médio;Catar;2016;369,248038
Oriente Médio;Catar;2017;335,4134958
Oriente Médio;Catar;2018;347,3920793
Oriente Médio;Catar;2019;369,1685294
Oriente Médio;Catar;2020;296,0013097
Oriente Médio;Catar;2021;311,1694935
Oriente Médio;Coveite;2012;467
Oriente Médio;Coveite;2013;477,2728744
Oriente Médio;Coveite;2014;488,0177944
Oriente Médio;Coveite;2015;474,6163406
Oriente Médio;Coveite;2016;449,0410988
Oriente Médio;Coveite;2017;469,6198049
Oriente Médio;Coveite;2018;481,146895
Oriente Médio;Coveite;2019;471,2183189
Oriente Médio;Coveite;2020;441,0886026
Oriente Médio;Coveite;2021;449,522016
Oriente Médio;Emirados Árabes Unidos;2012;766
Oriente Médio;Emirados Árabes Unidos;2013;847,0492112
Oriente Médio;Emirados Árabes Unidos;2014;858,4589209
Oriente Médio;Emirados Árabes Unidos;2015;926,6939153
Oriente Médio;Emirados Árabes Unidos;2016;1021,321041
Oriente Médio;Emirados Árabes Unidos;2017;1006,260278
Oriente Médio;Emirados Árabes Unidos;2018;1004,287113
Oriente Médio;Emirados Árabes Unidos;2019;972,3683469
Oriente Médio;Emirados Árabes Unidos;2020;854,5791494
Oriente Médio;Emirados Árabes Unidos;2021;952,3760843
Oriente Médio;Irã;2012;1762
Oriente Médio;Irã;2013;1878,608504
Oriente Médio;Irã;2014;1765,3218
Oriente Médio;Irã;2015;1579,694117
Oriente Médio;Irã;2016;1578,561613
Oriente Médio;Irã;2017;1656,333747
Oriente Médio;Irã;2018;1727,869006
Oriente Médio;Irã;2019;1784,116481
Oriente Médio;Irã;2020;1672,798792
Oriente Médio;Irã;2021;1689,959615
Oriente Médio;Iraque;2012;619
Oriente Médio;Iraque;2013;687,5462602
Oriente Médio;Iraque;2014;649,8160712
Oriente Médio;Iraque;2015;629,9091055
Oriente Médio;Iraque;2016;686,8988434
Oriente Médio;Iraque;2017;720,202448
Oriente Médio;Iraque;2018;846,6430594
Oriente Médio;Iraque;2019;719,8949593
Oriente Médio;Iraque;2020;629,0906039
Oriente Médio;Iraque;2021;721,8846002
Oriente Médio;Israel;2012;274
Oriente Médio;Israel;2013;212,2793951
Oriente Médio;Israel;2014;199,369729
Oriente Médio;Israel;2015;211,0070166
Oriente Médio;Israel;2016;216,0961356
Oriente Médio;Israel;2017;226,3132554
Oriente Médio;Israel;2018;228,9297195
Oriente Médio;Israel;2019;231,4384251
Oriente Médio;Israel;2020;199,9204989
Oriente Médio;Israel;2021;209,1092226
Oriente Médio;Omã;2012;157
Oriente Médio;Omã;2013;178,2465753
Oriente Médio;Omã;2014;184,6824658
Oriente Médio;Omã;2015;184,0421918
Oriente Médio;Omã;2016;186,9304098
Oriente Médio;Omã;2017;223,5360859
Oriente Médio;Omã;2018;231,8672018
Oriente Médio;Omã;2019;224,170712
Oriente Médio;Omã;2020;190,1696999
Oriente Médio;Omã;2021;208,7591366
Oriente Médio;Outros;2012;696
Oriente Médio;Outros;2013;652,6446401
Oriente Médio;Outros;2014;652,4077824
Oriente Médio;Outros;2015;566,2089347
Oriente Médio;Outros;2016;534,6496786
Oriente Médio;Outros;2017;569,9229797
Oriente Médio;Outros;2018;552,4606625
Oriente Médio;Outros;2019;540,5958197
Oriente Médio;Outros;2020;482,2593127
Oriente Médio;Outros;2021;502,1509506
África;África Central;2012;251
África;África Central;2013;283,5610619
África;África Central;2014;298,4709165
África;África Central;2015;289,7587303
África;África Central;2016;267,2447906
África;África Central;2017;251,6940163
África;África Central;2018;251,3900131
África;África Central;2019;262,4283774
África;África Central;2020;239,0811785
África;África Central;2021;257,2196248
África;África do Sul;2012;542
África;África do Sul;2013;552,1380388
África;África do Sul;2014;544,2279194
África;África do Sul;2015;600,6649391
África;África do Sul;2016;575,6148883
África;África do Sul;2017;575,6819677
África;África do Sul;2018;575,4200619
África;África do Sul;2019;569,1670006
África;África do Sul;2020;465,3599913
África;África do Sul;2021;502,1949682
África;África Ocidental;2012;573
África;África Ocidental;2013;594,0018231
África;África Ocidental;2014;555,0065193
África;África Ocidental;2015;562,6256492
África;África Ocidental;2016;622,9844714
África;África Ocidental;2017;679,3091985
África;África Ocidental;2018;787,1663225
África;África Ocidental;2019;801,1834573
África;África Ocidental;2020;790,0897256
África;África Ocidental;2021;856,3011691
África;África Oriental;2012;466
África;África Oriental;2013;492,4869349
África;África Oriental;2014;512,8652161
África;África Oriental;2015;559,466079
África;África Oriental;2016;568,9396658
África;África Oriental;2017;603,6982337
África;África Oriental;2018;625,9947187
África;África Oriental;2019;626,2239353
