UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;PRODUÇÃO DE GÁS NATURAL
Rio de Janeiro;Mar;2016;16613,08079
Rio de Janeiro;Mar;2017;18615,13698
Rio de Janeiro;Mar;2018;20197,57785
Rio de Janeiro;Mar;2019;24986,194
Rio de Janeiro;Mar;2020;29566,62422
Rio de Janeiro;Mar;2021;31223,33794
São Paulo;Mar;2012;1992,1
São Paulo;Mar;2013;2787,811
São Paulo;Mar;2014;4163,082
São Paulo;Mar;2015;5538,438309
São Paulo;Mar;2016;5832,248216
São Paulo;Mar;2017;6886,261649
São Paulo;Mar;2018;6431,008071
São Paulo;Mar;2019;6694,188
São Paulo;Mar;2020;6155,985551
São Paulo;Mar;2021;6057,235554
