BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Depósitos Judiciais1;2017;21125,59574
Depósitos Judiciais1;2018;59701,1087
Depósitos Judiciais1;2019;1035715,471
Depósitos Judiciais1;2020;1614893,327
Depósitos Judiciais1;2021;2827199,923
União;2012;7927586
União;2013;7748592,418
União;2014;8413762,246
União;2015;5328174,673
União;2016;2925253,345
União;2017;7596588,508
União;2018;14783546,09
União;2019;15756145,75
União;2020;11136492,47
União;2021;18501880,95
Ministério de Minas e Energia;2012;6205590
Ministério de Minas e Energia;2013;5811819,913
Ministério de Minas e Energia;2014;5413907,32
Ministério de Minas e Energia;2015;2347291,71
Ministério de Minas e Energia;2016;747221,0723
Ministério de Minas e Energia;2017;1151280,257
Ministério de Minas e Energia;2018;2204074,756
Ministério de Minas e Energia;2019;1631626,603
Ministério de Minas e Energia;2020;375866,3375
Ministério de Minas e Energia;2021;1456653,534
Ministério do Meio Ambiente;2012;1553986
Ministério do Meio Ambiente;2013;1452954,981
Ministério do Meio Ambiente;2014;1353476,83
Ministério do Meio Ambiente;2015;586822,9274
Ministério do Meio Ambiente;2016;186805,2681
Ministério do Meio Ambiente;2017;287820,0642
Ministério do Meio Ambiente;2018;551018,6891
Ministério do Meio Ambiente;2019;407906,6508
Ministério do Meio Ambiente;2020;93966,58443
Ministério do Meio Ambiente;2021;364163,3837
Fundo Social;2012;168010
Fundo Social;2013;483817,5249
Fundo Social;2014;1646378,095
Fundo Social;2015;2394060,036
Fundo Social;2016;1991227,004
Fundo Social;2017;6157488,187
Fundo Social;2018;12028452,64
Fundo Social;2019;13665594,64
Fundo Social;2020;10563367,92
Fundo Social;2021;16547179,07
Educação;2012;0
Educação;2019;38263,38799
Educação;2020;77468,72138
Educação;2021;100413,7191
Saúde;2012;0
Saúde;2019;12754,46265
Saúde;2020;25822,90711
Saúde;2021;33471,23967
