BACIA SEDIMENTAR;ESTADO;LOCALIZAÇÃO;CAMPO;CONCESSIONÁRIO;PERCENTUAL
Alagoas;Alagoas;Mar;Paru;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Anambé;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Arapaçu;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Cidade de São Miguel dos Campos;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Coqueiro Seco;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Fazenda Guindaste;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Fazenda Pau Brasil;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Furado;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Jequiá;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Pilar;Origem Energia1 ;1
Alagoas;Alagoas;Terra;São Miguel dos Campos;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Sul de Coruripe;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Tabuleiro dos Martins;Petrosynergy1 ;1
Amazonas;Amazonas;Terra;Azulão;Eneva1 ;1
Amazonas;Amazonas;Terra;Japiim²;Petrobras1 ;1
Barreirinhas;Maranhão;Terra;São João³;Oeste de Canoas ;0,5
Barreirinhas;Maranhão;Terra;São João³;Petro-Victory1 ;0,5
Camamu;Bahia;Mar;Camarão Norte²;Petrobras1 ;0,35
Camamu;Bahia;Mar;Camarão Norte²;Enauta Energia ;0,45
Camamu;Bahia;Mar;Camarão Norte²;Brasoil Manati ;0,1
Camamu;Bahia;Mar;Camarão Norte²;Geopark Brasil ;0,1
Camamu;Bahia;Mar;Manati;Petrobras1 ;0,35
Camamu;Bahia;Mar;Manati;Enauta Energia ;0,45
Camamu;Bahia;Mar;Manati;Brasoil Manati ;0,1
Camamu;Bahia;Mar;Manati;Geopark Brasil ;0,1
Camamu;Bahia;Mar;Piraúna²;3R Petroleum1 ;1
Camamu;Bahia;Mar;Sardinha²;Petrobras1 ;1
Camamu;Bahia;Terra;Jiribatuba³;Alvopetro1 ;1
Camamu;Bahia;Terra;Morro do Barro³;Panergy1 ;0,3
Camamu;Bahia;Terra;Morro do Barro³;ERG ;0,7
Campos;Espírito Santo;Mar;Abalone;Shell Brasil1 ;0,5
Campos;Espírito Santo;Mar;Abalone;ONGC Campos ;0,27
Campos;Espírito Santo;Mar;Abalone;QP Brasil ;0,23
Campos;Espírito Santo;Mar;Argonauta;Shell Brasil1 ;0,5
Campos;Espírito Santo;Mar;Argonauta;ONGC Campos ;0,27
Campos;Espírito Santo;Mar;Argonauta;QP Brasil ;0,23
Campos;Espírito Santo;Mar;Baleia Anã;Petrobras1 ;1
Campos;Espírito Santo;Mar;Cachalote;Petrobras1 ;1
Campos;Espírito Santo;Mar;Catuá²;Petrobras1 ;1
Campos;Espírito Santo;Mar;Jubarte;Petrobras1 ;1
Campos;Espírito Santo;Mar;Ostra;Shell Brasil1 ;0,5
Campos;Espírito Santo;Mar;Ostra;ONGC Campos ;0,27
Campos;Espírito Santo;Mar;Ostra;QP Brasil ;0,23
Campos;Espírito Santo;Mar;Pirambu;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Albacora;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Albacora Leste;Petrobras1 ;0,9
Campos;Rio de Janeiro;Mar;Albacora Leste;Repsol Sinopec ;0,1
Campos;Rio de Janeiro;Mar;Anequim;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Badejo;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Bagre;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Barracuda;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Bicudo;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Bijurá²;Shell Brasil1 ;0,8
Campos;Rio de Janeiro;Mar;Bijurá²;Petrobras ;0,2
Campos;Rio de Janeiro;Mar;Bonito;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Carapeba;Perenco Brasil1 ;1
Campos;Rio de Janeiro;Mar;Caratinga;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Cherne;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Congro;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Corvina;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Enchova;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Enchova Oeste;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Espadarte;Petrobras1 ;0,5
Campos;Rio de Janeiro;Mar;Espadarte;Petronas ;0,5
Campos;Rio de Janeiro;Mar;Frade;Petro Rio Jaguar1 ;0,82
Campos;Rio de Janeiro;Mar;Frade;Petro Rio Sardinha ;0,18
Campos;Rio de Janeiro;Mar;Garoupa;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Garoupinha;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Linguado;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Malhado;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Marimbá;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Marlim;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Marlim Leste;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Marlim Sul;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Moréia²;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Namorado;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Nordeste de Namorado²;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Pampo;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Papa-Terra;Petrobras1 ;0,625
Campos;Rio de Janeiro;Mar;Papa-Terra;Chevron Brasil ;0,375
Campos;Rio de Janeiro;Mar;Parati;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Pargo;Perenco Brasil1 ;1
Campos;Rio de Janeiro;Mar;Peregrino;Equinor Brasil1 ;0,6
Campos;Rio de Janeiro;Mar;Peregrino;Sinochem Petróleo ;0,4
Campos;Rio de Janeiro;Mar;Piraúna;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Polvo;Petro Rio O&G1 ;1
Campos;Rio de Janeiro;Mar;Roncador;Petrobras1 ;0,75
Campos;Rio de Janeiro;Mar;Roncador;Equinor Energy ;0,25
Campos;Rio de Janeiro;Mar;Salema;Shell Brasil1 ;0,8
Campos;Rio de Janeiro;Mar;Salema;Petrobras ;0,2
Campos;Rio de Janeiro;Mar;Tartaruga Verde;Petrobras1 ;0,5
Campos;Rio de Janeiro;Mar;Tartaruga Verde;Petronas ;0,5
Campos;Rio de Janeiro;Mar;Tartaruga Verde Sudoeste⁵;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Trilha;Trident Energy1 ;1
Campos;Rio de Janeiro;Mar;Tubarão Azul²;Dommo Energia1 ;1
